name,tags,rating
Gellyfish and Baby's Breath,"['greedy', 'math', 'sortings']",1300.0
Gellyfish and Tricolor Pansy,"['games', 'greedy']",800.0
Gellyfish and Lycoris Radiata (Hard Version),['data structures'],3500.0
Gellyfish and Lycoris Radiata (Easy Version),['data structures'],3500.0
Gellyfish and Mayflower,"['dp', 'graphs']",3500.0
Gellyfish and Forget-Me-Not,"['bitmasks', 'dp', 'games', 'greedy', 'math']",2900.0
Gellyfish and Eternal Violet,"['combinatorics', 'dp', 'greedy', 'math', 'probabilities']",2700.0
Gellyfish and Camellia Japonica,"['brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'greedy', 'trees']",2100.0
Gellyfish and Flaming Peony,"['constructive algorithms', 'dp', 'math', 'number theory']",1500.0
Build an Array,"['brute force', 'constructive algorithms', 'dp', 'greedy', 'math', 'number theory']",2200.0
Small Operations,"['binary search', 'brute force', 'dfs and similar', 'dp', 'math', 'number theory', 'sortings']",2000.0
Kirei Attacks the Estate,"['dfs and similar', 'dp', 'greedy', 'trees']",1400.0
Come a Little Closer,"['brute force', 'greedy', 'implementation', 'math']",1400.0
Need More Arrays,"['dp', 'greedy']",1000.0
Not Quite a Palindromic String,"['greedy', 'math']",900.0
Square Year,"['binary search', 'brute force', 'math']",800.0
Two Arrays,"['constructive algorithms', 'dfs and similar', 'graphs', 'math']",2500.0
From Kazan with Love,"['dfs and similar', 'graphs', 'implementation', 'trees']",2800.0
